date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1
2021-12-14 12:00:00,2021,50,12,14,212,,,0.8763311214517677,0.0671681540711755,-0.3863125775937786
2021-12-14 13:00:00,2021,50,13,14,213,,,0.8909486067683141,0.021068615880803724,-0.3767645845061331
2021-12-14 14:00:00,2021,50,14,14,214,,,0.9026282286800915,-0.037643305397192926,-0.3604614902087175
2021-12-14 15:00:00,2021,50,15,14,215,,,0.9161695268444408,-0.10617211077615889,-0.3473525312683443
2021-12-14 16:00:00,2021,50,16,14,216,,,0.8159052183070644,-0.08298577399673351,-0.31723257361642976
2021-12-14 17:00:00,2021,50,17,14,217,,,0.77703089062167,-0.08554775272328356,-0.2972853776138428
2021-12-14 18:00:00,2021,50,18,14,218,,,0.6764180254638937,-0.08224684642762135,-0.2676077802717636
2021-12-14 19:00:00,2021,50,19,14,219,,,0.35160888380514693,-0.21355145751736573,-0.11134133341912418
2021-12-14 20:00:00,2021,50,20,14,220,,,0.08128024787456119,-0.24477651658508037,0.05171356104366235
2021-12-14 21:00:00,2021,50,21,14,221,,,-0.2533509124259036,-0.3407797993304105,0.22401229733367514
2021-12-15 12:00:00,2021,50,12,15,312,,,0.8401279412744862,0.14113624959897825,-0.36776071472611316
2021-12-15 13:00:00,2021,50,13,15,313,,,0.7698951133342652,0.07970152581799554,-0.28987123845337265
2021-12-15 14:00:00,2021,50,14,15,314,,,0.7003899159258413,0.020810638741843704,-0.2062492559203353
2021-12-15 15:00:00,2021,50,15,15,315,,,0.6270876480373296,-0.04479374500746246,-0.12373085929609355
2021-12-15 16:00:00,2021,50,16,15,316,,,0.3413124545894853,-0.13363937144361862,0.005211417159160877
2021-12-15 17:00:00,2021,50,17,15,317,,,0.002206157783685703,-0.23572848945976138,0.13190241696387134
2021-12-15 18:00:00,2021,50,18,15,318,,,-0.28180175703599325,-0.32349288290600464,0.25576184432708565
2021-12-15 19:00:00,2021,50,19,15,319,,,-0.32214684492683804,-0.3600679742885979,0.29366577676235495
2021-12-15 20:00:00,2021,50,20,15,320,,,-0.36728387229837417,-0.37177949384893333,0.338826727113007
2021-12-15 21:00:00,2021,50,21,15,321,,,-0.4064676060997943,-0.40564889479543936,0.3783530986885073
2021-12-16 12:00:00,2021,50,12,16,412,,,0.09545740617392452,-0.003045181903237405,0.20765112298116897
2021-12-16 13:00:00,2021,50,13,16,413,,,0.20004550781682287,0.006065738248314952,0.1157814293438473
2021-12-16 14:00:00,2021,50,14,16,414,,,0.2957888099924195,0.021376797121613014,0.037665179368023397
2021-12-16 15:00:00,2021,50,15,16,415,,,0.3915306086578489,0.023371321520842793,-0.044159083973830594
2021-12-16 16:00:00,2021,50,16,16,416,,,0.15308001972252233,-0.13025859213831553,0.05188105239425761
2021-12-16 17:00:00,2021,50,17,16,417,,,-0.028329573596707954,-0.27578593608831103,0.14374863554027198
2021-12-16 18:00:00,2021,50,18,16,418,,,-0.2667801625320345,-0.4294158497474694,0.23757371563598714
2021-12-16 19:00:00,2021,50,19,16,419,,,-0.2888706746642598,-0.4630653085191496,0.2585805792828491
2021-12-16 20:00:00,2021,50,20,16,420,,,-0.32278411050965666,-0.4854391157450633,0.29686835905873277
2021-12-16 21:00:00,2021,50,21,16,421,,,-0.34694567879468297,-0.5099407732099255,0.3225939941960489
2021-12-17 12:00:00,2021,50,12,17,512,,,-0.26606312254214054,-0.46335533195735173,0.3131171430611281
2021-12-17 13:00:00,2021,50,13,17,513,,,-0.014346362782761128,-0.4429130559707087,0.21756163861139047
2021-12-17 14:00:00,2021,50,14,17,514,,,0.1871163858423142,-0.3892593275768093,0.13082347414656528
2021-12-17 15:00:00,2021,50,15,17,515,,,0.43353068266644557,-0.3503193084910313,0.04360186993740431
2021-12-17 16:00:00,2021,50,16,17,516,,,0.17499750189405328,-0.3763526173028538,0.12388344367767637
2021-12-17 17:00:00,2021,50,17,17,517,,,-0.02719650893555689,-0.3950773163425252,0.20060909528466775
2021-12-17 18:00:00,2021,50,18,17,518,,,-0.28591532813312515,-0.46623403968717114,0.2798457295798871
2021-12-17 19:00:00,2021,50,19,17,519,,,-0.30650089139670544,-0.4951148951203031,0.2963247365839775
2021-12-17 20:00:00,2021,50,20,17,520,,,-0.3406766570016231,-0.5138013319975822,0.3328162620571421
2021-12-17 21:00:00,2021,50,21,17,521,,,-0.3657967918275535,-0.5393285035383933,0.3563957732622825
2021-12-18 12:00:00,2021,50,12,18,612,,,-0.4978543102301739,-0.10442162087346278,0.39235188174205315
2021-12-18 13:00:00,2021,50,13,18,613,,,-0.4801135720790636,-0.1184506471240066,0.38070381466920294
2021-12-18 14:00:00,2021,50,14,18,614,,,-0.4561680325098487,-0.13399552555062952,0.37172561784885977
2021-12-18 15:00:00,2021,50,15,18,615,,,-0.43575439904896013,-0.14156135159252464,0.35531681247950303
2021-12-18 16:00:00,2021,50,16,18,616,,,-0.4372629024119509,-0.23667986570588512,0.37500204110023644
2021-12-18 17:00:00,2021,50,17,18,617,,,-0.43188880614687125,-0.4076548389353592,0.38828731365097624
2021-12-18 18:00:00,2021,50,18,18,618,,,-0.4413844054120124,-0.5157886352155124,0.4141071016746969
2021-12-18 19:00:00,2021,50,19,18,619,,,-0.4347417950545176,-0.5343780926219761,0.4060724939697493
2021-12-18 20:00:00,2021,50,20,18,620,,,-0.42775062807662245,-0.5330821195446764,0.4027947728719349
2021-12-18 21:00:00,2021,50,21,18,621,,,-0.42110801771912754,-0.5516715769511401,0.3983852838114515
2021-12-19 12:00:00,2021,50,12,19,712,,,-0.3923718371495194,-0.4105280860187126,0.3803572447308891
2021-12-19 13:00:00,2021,50,13,19,713,,,-0.33686384537470565,-0.37376189348121863,0.3238483894507308
2021-12-19 14:00:00,2021,50,14,19,714,,,-0.27915322090356953,-0.35458622536984397,0.2690039536098369
2021-12-19 15:00:00,2021,50,15,19,715,,,-0.2231784813101857,-0.33866083796813556,0.21293767106575706
2021-12-19 16:00:00,2021,50,16,19,716,,,-0.28823504700793484,-0.41754603805448987,0.2694965426337286
2021-12-19 17:00:00,2021,50,17,19,717,,,-0.3562218238350924,-0.4667583372095502,0.3303509363956505
2021-12-19 18:00:00,2021,50,18,19,718,,,-0.4251142173438625,-0.5213526035833458,0.3891470883942829
2021-12-19 19:00:00,2021,50,19,19,719,,,-0.4218777217198738,-0.5450301734157172,0.3836052862226344
2021-12-19 20:00:00,2021,50,20,19,720,,,-0.4245945196660008,-0.5465498618619176,0.38753135365778685
2021-12-19 21:00:00,2021,50,21,19,721,,,-0.422823155656072,-0.562704087833645,0.3866616717596143
2021-12-20 12:00:00,2021,51,12,20,112,,,0.032223770625419985,-0.3409981674041358,-0.017924217094512973
2021-12-20 13:00:00,2021,51,13,20,113,,,0.0076527913918615536,-0.17141438907498646,-0.0477140209195992
2021-12-20 14:00:00,2021,51,14,20,114,,,-0.013258790571612784,-0.0010169272882259524,-0.08006186626677453
2021-12-20 15:00:00,2021,51,15,20,115,,,-0.029939578497372152,0.17625588490294467,-0.11923819274693287
2021-12-20 16:00:00,2021,51,16,20,116,,,-0.008746547098956428,-0.08877941033581493,-0.06703834667009771
2021-12-20 17:00:00,2021,51,17,20,117,,,0.014289059314387204,-0.3598460320668625,-0.01624689707435055
2021-12-20 18:00:00,2021,51,18,20,118,,,0.03664344480222755,-0.6221756368695351,0.03408914437787245
2021-12-20 19:00:00,2021,51,19,20,119,,,-0.02844106463018977,-0.5570036504259651,0.05980231660455713
2021-12-20 20:00:00,2021,51,20,20,120,,,-0.0953872503151787,-0.4820147798814255,0.08958032941271131
2021-12-20 21:00:00,2021,51,21,20,121,,,-0.16599283327025166,-0.407839592794497,0.12356368249379955
2021-12-21 12:00:00,2021,51,12,21,212,67.56,67.56000000000002,-0.5712021809627694,-0.021714423943369796,0.4017277123421253
2021-12-21 13:00:00,2021,51,13,21,213,0.0,0.0,-0.536664075213317,-0.0212421823558941,0.3737546815095572
2021-12-21 14:00:00,2021,51,14,21,214,122.9,122.89999999999998,-0.5110964333056239,-0.033652782857393614,0.35643665905116617
2021-12-21 15:00:00,2021,51,15,21,215,4.579999999999998,4.580000000000002,-0.48505444340271164,-0.03924511768576547,0.33939278192128425
2021-12-21 16:00:00,2021,51,16,21,216,83.65,83.64999999999998,-0.4129922575683553,-0.19828690919519953,0.3036628880310799
2021-12-21 17:00:00,2021,51,17,21,217,34.86,34.86000000000002,-0.34559193818133627,-0.3542243864757458,0.2727726348863201
2021-12-21 18:00:00,2021,51,18,21,218,176.35,176.35000000000005,-0.26956971157295745,-0.5171644521510795,0.23429405269871076
2021-12-21 19:00:00,2021,51,19,21,219,25.789999999999992,25.789999999999978,-0.3077494205882463,-0.5270091031000104,0.26738916986850475
2021-12-21 20:00:00,2021,51,20,21,220,127.13,127.13,-0.3389460584875161,-0.5478632218797239,0.2976820729521254
2021-12-21 21:00:00,2021,51,21,21,221,0.0,0.0,-0.3727227724839763,-0.5526188336016743,0.33177507575469667
2021-12-22 12:00:00,2021,51,12,22,312,12.9,12.899999999999999,-0.4721281853686872,-0.2489276612742883,0.39963259110335325
2021-12-22 13:00:00,2021,51,13,22,313,0.0,0.0,-0.4277664489047646,-0.21542545368383256,0.35316166671291166
2021-12-22 14:00:00,2021,51,14,22,314,31.68,31.679999999999996,-0.3846139796467278,-0.20922632463673804,0.3146176433475568
2021-12-22 15:00:00,2021,51,15,22,315,24.65,24.64999999999999,-0.3387871115687455,-0.18324746090692645,0.2712433544951499
2021-12-22 16:00:00,2021,51,16,22,316,57.66,57.66,-0.30264291676175464,-0.26405096488718105,0.23849000187350067
2021-12-22 17:00:00,2021,51,17,22,317,155.37,155.37000000000003,-0.25921036980394224,-0.35277643652088075,0.2017122438916218
2021-12-22 18:00:00,2021,51,18,22,318,267.95,267.9500000000001,-0.2222069679216327,-0.43947882691560564,0.17092485664162307
2021-12-22 19:00:00,2021,51,19,22,319,145.36,145.36000000000004,-0.24274612157891903,-0.45707882871553185,0.1840128104514603
2021-12-22 20:00:00,2021,51,20,22,320,19.81,19.810000000000006,-0.27399325446624606,-0.4719783421668109,0.21092072535754783
2021-12-22 21:00:00,2021,51,21,22,321,9.53,9.529999999999998,-0.2944859985172385,-0.47829749033353114,0.22781585323930476
2021-12-23 12:00:00,2021,51,12,23,412,33.74,33.73999999999999,-0.18197344156386405,-0.21381113928940676,0.139091882513375
2021-12-23 13:00:00,2021,51,13,23,413,31.85,31.849999999999998,-0.041425932899146305,-0.12125409861828194,-0.0046071465830515345
2021-12-23 14:00:00,2021,51,14,23,414,16.6,16.599999999999998,0.11072443747987927,-0.048157573212761894,-0.15656981204205472
2021-12-23 15:00:00,2021,51,15,23,415,39.99,39.98999999999999,0.2556673409867764,0.021829435876430374,-0.2987384825468029
2021-12-23 16:00:00,2021,51,16,23,416,102.11,102.11,0.13336458794328734,-0.10475323667383214,-0.18378286859207732
2021-12-23 17:00:00,2021,51,17,23,417,79.41,79.41000000000001,0.019445475440460575,-0.2206141672976272,-0.0683218232144333
2021-12-23 18:00:00,2021,51,18,23,418,94.95,94.94999999999999,-0.10846043614092644,-0.3386133523352499,0.058652570673385994
2021-12-23 19:00:00,2021,51,19,23,419,85.89,85.89000000000001,-0.20015294171334222,-0.38146518661452744,0.13856894148247975
2021-12-23 20:00:00,2021,51,20,23,420,36.06,36.06,0.08162556317014819,-0.2686248374414775,-0.13031666895718008
2021-12-23 21:00:00,2021,51,21,23,421,90.8,90.80000000000003,-0.38711646484956497,-0.47901402260046644,0.31544496535066563
2021-12-24 12:00:00,2021,51,12,24,512,0.0,0.0,-0.16121954320793816,-0.19120620900333074,0.08626724354101281
2021-12-24 13:00:00,2021,51,13,24,513,72.00999999999999,72.00999999999996,-0.16480690614550086,-0.19509506887147054,0.08523223130499828
2021-12-24 14:00:00,2021,51,14,24,514,54.379999999999995,54.37999999999998,-0.1718990630995105,-0.18448183129190113,0.09102877949994452
2021-12-24 15:00:00,2021,51,15,24,515,49.17,49.17000000000001,-0.1668181092094195,-0.184092425921623,0.09034628376660399
2021-12-24 16:00:00,2021,51,16,24,516,125.85,125.84999999999997,0.21085734974223758,-0.028906854681534096,-0.27401642913699176
2021-12-24 17:00:00,2021,51,17,24,517,151.53,151.53000000000003,0.2291758922015357,-0.027025842816511783,-0.2894480025344848
2021-12-24 18:00:00,2021,51,18,24,518,160.2,160.19999999999996,0.08255544567143906,-0.11957758271634257,-0.14727801192587936
2021-12-24 19:00:00,2021,51,19,24,519,118.1,118.1,-0.1793032154388572,-0.2454769851435396,0.09888613990333943
2021-12-24 20:00:00,2021,51,20,24,520,81.23,81.23000000000002,0.18682894787817028,-0.07590822870933261,-0.25180561754817715
2021-12-24 21:00:00,2021,51,21,24,521,34.02,34.019999999999996,0.21336780471186653,-0.06918525466237158,-0.2792602417502175
2021-12-25 12:00:00,2021,51,12,25,612,8.32,8.319999999999999,0.34777592842807853,0.10630589296083726,-0.44873416329432414
2021-12-25 13:00:00,2021,51,13,25,613,75.44,75.44000000000003,0.46099494907172217,0.07109581089385786,-0.40318891913043614
2021-12-25 14:00:00,2021,51,14,25,614,113.78,113.78000000000004,0.5114770484474948,0.028431152573949507,-0.3445163447313816
2021-12-25 15:00:00,2021,51,15,25,615,375.71,375.7099999999999,0.6245238681100245,-0.00499261831560041,-0.29405349852809715
2021-12-25 16:00:00,2021,51,16,25,616,304.55,304.54999999999995,0.40357353143637426,-0.04979892790690932,-0.23390065514822764
2021-12-25 17:00:00,2021,51,17,25,617,431.21999999999997,431.2200000000001,0.23828272219182076,-0.11201943515498713,-0.17071353060428798
2021-12-25 18:00:00,2021,51,18,25,618,222.72,222.71999999999994,0.024667147275285854,-0.15346685876653557,-0.11368812456428946
2021-12-25 19:00:00,2021,51,19,25,619,91.12,91.11999999999999,-0.017270367114605556,-0.18276797595191743,-0.0774429832624054
2021-12-25 20:00:00,2021,51,20,25,620,209.42,209.41999999999996,0.19884233506507917,-0.09358870458701893,-0.28087667093104285
2021-12-25 21:00:00,2021,51,21,25,621,94.89,94.89,0.2095503142951199,-0.09628919293566612,-0.291898463090616
2021-12-26 12:00:00,2021,51,12,26,712,82.77,82.77,0.6696134171014565,-0.06502121814246482,-0.28440963374716016
2021-12-26 13:00:00,2021,51,13,26,713,51.86,51.85999999999999,0.3569505107910608,-0.15657825302960868,-0.13252699352110606
2021-12-26 14:00:00,2021,51,14,26,714,177.5,177.49999999999994,0.36865884320143366,-0.11427408017373092,-0.23950800905148778
2021-12-26 15:00:00,2021,51,15,26,715,123.03999999999999,123.04000000000003,0.32142732482402325,-0.07271098689762787,-0.3313387284302059
2021-12-26 16:00:00,2021,51,16,26,716,226.89999999999998,226.9,0.39159571681347566,-0.06294293576002641,-0.26836807561177267
2021-12-26 17:00:00,2021,51,17,26,717,275.01,275.00999999999993,0.4201707622209171,-0.05797045099566999,-0.21049266118130497
2021-12-26 18:00:00,2021,51,18,26,718,500.85,500.8500000000001,0.4878756388008203,-0.053996517272565554,-0.14068017702050423
2021-12-26 19:00:00,2021,51,19,26,719,225.14,225.13999999999996,0.4222038313379637,-0.013706112308836223,-0.23754847415151292
2021-12-26 20:00:00,2021,51,20,26,720,25.14,25.14,0.40770188583798045,0.010488098049582693,-0.3207280640353704
2021-12-26 21:00:00,2021,51,21,26,721,133.54,133.54,0.34228744629346486,0.02926861508337503,-0.41202228786054873
2021-12-27 12:00:00,2021,52,12,27,112,7.289999999999999,7.289999999999998,-0.2318120112690637,-0.0681080888321225,0.09146269144094324
2021-12-27 13:00:00,2021,52,13,27,113,164.95000000000002,164.95000000000005,-0.05178070568192798,0.002518928308908565,-0.08071587832682317
2021-12-27 14:00:00,2021,52,14,27,114,42.64,42.63999999999997,0.1376250240647103,0.06952607784263531,-0.25815737321425514
2021-12-27 15:00:00,2021,52,15,27,115,147.55,147.55,0.31969599205423316,0.1331743413966014,-0.424133422972356
2021-12-27 16:00:00,2021,52,16,27,116,75.87,75.87,0.32056173938254945,0.11163814820613864,-0.42286824398204625
