date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact
2018-11-16 12:00:00,2018,46,12,16,512,,,,-0.543559089023881,-0.20097595697993784,-0.4044893867186403,1.0
2018-11-16 13:00:00,2018,46,13,16,513,,,,-0.5258456410598383,-0.22507531830084648,-0.39050190562823517,1.0
2018-11-16 14:00:00,2018,46,14,16,514,,,,-0.5049456936771723,-0.2521387139452307,-0.3734329857017254,1.0
2018-11-16 15:00:00,2018,46,15,16,515,,,,-0.4896300466308393,-0.2694995411183832,-0.3626107337406533,1.0
2018-11-16 16:00:00,2018,46,16,16,516,,,,-0.48937053608490266,-0.299300998225734,-0.3613181498889203,1.0
2018-11-16 17:00:00,2018,46,17,16,517,,,,-0.485203232547032,-0.3300491794922203,-0.35688645031774124,1.0
2018-11-16 18:00:00,2018,46,18,16,518,,,,-0.48597322269826954,-0.36026879041484866,-0.3590825131236307,1.0
2018-11-16 19:00:00,2018,46,19,16,519,,,,-0.4765437583170791,-0.35162655552726535,-0.36107846478596833,1.0
2018-11-16 20:00:00,2018,46,20,16,520,,,,-0.46152999359955565,-0.35268688911091395,-0.3572780747689312,1.0
2018-11-16 21:00:00,2018,46,21,16,521,,,,-0.4521005292183651,-0.3440446542233307,-0.3600216709378462,1.0
2018-11-16 22:00:00,2018,46,22,16,522,,,,-0.42173511464124097,-0.36753383187872407,-0.33692393656657793,1.0
2018-11-16 23:00:00,2018,46,23,16,523,,,,-0.38230681554341284,-0.3808516446957603,-0.30769079884207806,1.0
2018-11-17 12:00:00,2018,46,12,17,612,,,,-0.5411969177345018,-0.2407482485732595,-0.4109368779722817,1.0
2018-11-17 13:00:00,2018,46,13,17,613,,,,-0.5401742990358079,-0.24976421338975482,-0.4146898069621532,1.0
2018-11-17 14:00:00,2018,46,14,17,614,,,,-0.53598153090701,-0.27860446267705036,-0.41547837708000607,1.0
2018-11-17 15:00:00,2018,46,15,17,615,,,,-0.5381454116269396,-0.28465639317007024,-0.4223893501719294,1.0
2018-11-17 16:00:00,2018,46,16,17,616,,,,-0.5346708380510168,-0.3266568015225932,-0.4215281378212851,1.0
2018-11-17 17:00:00,2018,46,17,17,617,,,,-0.5350297705409434,-0.35651917742426703,-0.42404073731306713,1.0
